id,body,label
1065576,국방비  어디다  쓰는거냐?  쓰레기들  삥땅칠게  따로있지,0
1065577,이런 썩을 정부,0
1065578,폐기백신도 맞쳤는데 먹는건 제대로줘야지 저게뭐냐 북한군식단이냐 80년대도 아니구,0
1065579,정치판은 똥물잔치라해도 국가수호하는 장병들까지 똥국먹여야겠니? 미흡하고 개선하겠단 개소리말고 내자식이다 생각하고 대우좀해라..,0
1065580,내일 청와대 점심도시락 배달 요청합니다,1
1065581,잘 좀 먹여라 남의집 귀한 아들들 나라위해 고생하는건데..,1
1065582,"니들이 젊은 이들에게 하는 악질적
행위를 하면서 표 달라고
에라이 나뿐놈들아",0
1065583,문재인이 군대를 60년대로 돌려놨네.아놔.....,0
1065584,초 중고시절 보다 열악한 군 급식 문제 있다,0
1065585,군대 이씹 섹기들은 변화가 없어,0
1065586,동네 개도 저런밥은 안먹는다,0
1065587,오래도록 안바뀌는 된장국은 조리법을 바꿔라. 아까운 된장만 낭비다.,0
1065588,"정말 어이없고 화가나는 일은, 강제징병으로 끌려간 한국의 남자청년들이 살인,사기 등 강력범죄로 수감된 극악범죄자들보다 밥을 제대로 못먹는다는 것이다. 조두순은 아주 대통령이라도 된거마냥 보안요원만 3명 시다바리처럼 줄줄 애완견마냥 따라다니던데, 장병들은 간부가 아니라는 이유로 화장실도 못가고 코로나로 격리될 경우에는 고무통에 대소변 보고 -20 도 폐가에 쳐박혀야 한다.",0
1065589,한국경제 발목잡아 일부러 침몰시켜 북한과 어깨 나란히 하려는 문재앙식 고난의 행군이다,0
1065590,북한에 뭐해줄까 고민할 시간에 군인들 복지부터 챙겨라.,0
1065591,진짜 국방부 문제있네 지들은 좋은밥 처먹으면서 나라지키는 군 장병들에게 편의점 도시락보다 더 못한걸 식사라고 제공하냐 이 식판으로 대가리를 쪼겨 죽일놈들아,0
1065592,감빵보다도 열악하겄네.. 군인들 헌신에 감사한 나라분위기 만들어야 저들의 희생이 보상받는다. 군대 가는거 남자라고 당연한거 아니야 누가 인생의 황금기에 강제로 끌려가 뺑뺑이 돌고 싶냐.  그 희생에 감사한줄 알자. 제발 조류독감에 치킨 파티 돼지열병에 제육파티 쳐 돌리는짓 그만하고 국방예산 낱낱이 뒤집어 보자.,0
1065593,"대통령요!
북한에 다 줘버려서 아무리 나라살림이 어려워도 
우리 군인들한테는제발좀 잘해줍시다.
천안함 전사자들 한테도 세월호.애기들 광주 희생자들보다는 더 잘해줘야 하지 않겠어유?
세살아가들도 북한넘들이 그랬다는걸 알건데
우째 청 와대 사람들만 모른대유?
제발 두손모아 비오니 우리 군인들 한테 좀 잘해 주시유.
4년동안 김정은이 한테 글케 잘해 줘두 쥐뿔 이나. 얻은게 한개라도 있소?",0
1065594,라떼는 말이야 닭국이 닭 껍데기 둥둥뜬 국물이 다였어. 고기는 지들이 쳐먹고 똥국이나 껍데기 국이 다였어 콩나물에 지렁이 꿈틀거리고 밥알은 왠지 시커멓고 지대가면 약도 시커매. 그래도 목숨걸고 나라지켰다. 문재인이 말아먹어서 그렇지,0
1065595,"그많은 국방비는 어디에 쓰고
군대간  아들들 한테
밥한끼  도 못 먹이냐
문재앙 말해봐라",0
1065596,"울 아들이 논훈에서 훈련병이다 
  살기 위해 어거지로 먹는다고 전화왔다
  가슴이  아픈데  국가는 뭐하냐
  방산비리 조사해라 아마 양파처럼 
  까도까도 한없이 나올거다",0
1065597,급식이 엉망인데 사병월급부터 올리면 뭐하냐,0
1065598,저런 음식 국가 원수나 줘라. 짜파구리나 쳐먹지 말고,0
1065599,중공 공산당 국적 한국말 하는 입국자 격리 호텔 식 제공한 단 기사본 것 같은데. 중공 유학생도.,0
1065600,"북괴 남조선 지부 민주당이 우리 군을 공격하고 있다. 일명, 군 아사 작전.",0
1065601,노예한남 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1065602,"우리 아들들 국군장병들 잘 좀 먹여라
개똥별들 품위유지비 주지말고",0
1065603,"40년전이나 지금이나,,,,,,,,,,,,,,,,,,,,,",0
1065604,그냥 급식회사에 맡겨라.,0
1065605,주사파 운동권 패거리들은 원래 다른 목적으로 휴대폰 허용했는데 뜻밖의 곳에서 정보가 샘 ㅎ 청와대 틀어박혀 있는 군통수권자는 책임감 있게 군에 간 젊은이들 밥이라도 좀 챙겨라. 저게 모냐.,0
1065606,아프리카 난민도 잊정도는 아니다.후레개이저자석드얼.제대군인에게 3000천만원 쳐줄 돈 있으면 급식처우나 개선해라 OOO이기 정권 국방양아치들아.,0
1065607,문재인 미쳤네 진짜 돈가지고 뭐하는지 ㅉㅉㅉ,0
1065608,나라에돈이 없는게아니라 도둑놈들이 다가져간다..,0
1065609,6.25때도 저것보다 나았다~,0
1065610,시민단체로 간 내 세금돌리도,0
1065611,다른비리보다도 방산비리는 좀더 강하게 처발해야 한다.,0
1065612,“아침 식단 메뉴 편성이 장병들 눈높이에 부족했던 점에 대해 송구스럽게 생각한다”.......? 대체 장병들 눈높이를 어떻게 봤던거지??,0
1065613,몸판여자들 집을 지원해줄돈은 있고 나라 지키는 군대는 범죄자보다 못한 이 현실,0
1065614,문재인정권ㅡ세금기생충들이 워낙 많이 달라붙어 나라돈을 빼먹어서 병사들 부식도 제대로 못주는거다.  사단 단위는 부식을 충분히 못줄거라.  중간에서 달창들이 빼먹었을 가능성 크다.,0
1065615,진짜 해도해도 너무한다,0
1065616,군바리들아 쿠테타가 정답이다,0
1065617,관련된 Zom만이들 모가지 다 날리면 후임자들은 알아서 잘하게 됨,0
1065618,"내 아들이 39사단에 복무중인데 저 사진에 있는 식판에 음식엔 김,국,오징어볶음,계란찜,배추김치,밥 이렇게 나왔습니다..
훈련소에서는 사진을 찍을 수도 없는데 ...
군에 정부에서 지워하는 돈은 적은데 아이들에게 요즘은 그나마 잘먹이는거라고 합니다..
한 사람의 거짓된 정보에 국민을 우롱하네요 ㅠ
참고로 39사단 5월8일 아침 식사 메뉴였습니다",1
1065619,군인들 급여 많이 준다고 떠들더니 선전용이고 먹는거 부터 기본이 안됬다 휴대폰 쓰게 하고 급여 올려주고 선거용 이었구만 좌빨 민주당은 가면쓴 빨갱이~~,0
1065620,"야 세금은 열나게 걷어대는데 왜 이런거냐, 증세 안하겠다고 한 쓰레기 좌파들이 물가, 임금, 집값 다 올려놓고 세금은 미친듯이 걷어대고 있는데 도대체 왜 결과는 이런거냐... 
이게 정상이냐... 공정과 정의?.... 욕만 나온다 이 기생충 쓰레기들아",0
1065621,중간에서  간부들이 다 빼먹는다 .사단장도한패 .ㅋ ㅋ,0
1065622,내 세금은 다 시민단체로 가나?,0
1065623,잘나온거 아닌가...나는 97년도에 군생활 했지만 김치가 배추가아닌 양배추였다 양배추로 김치 담근거 먹어봤냐?,1
1065624,군 휴대폰 소지가 순기능하네.,1
1065625,너무 잘쳐먹은 적와대악마를 봐라 아주 잘쳐먹어서 툭튀어나온 개구리눈깔에 넙적한 쌍판을..,0
1065626,쌰  앙  청와대에 있을 자격도 없다. 니네는 금수저에 고기반찬 쳐먹고 짜파게티에 프라임 쓰리뿔러스 스테이크 한우 팍팍썰어 씹어먹고있겠지 미친 인간들 진짜 국군에게 대접이 이따구야? 이 미친인간아 문!!!!!!,0
1065627,부식 떼먹은 넘들 철창에 넣어라.,0
1065628,"개밥도 이정도는 아닌듯 하네요~
국방비는 40조원이상 쓰면서 우리아들 밥은 이정도라니 관계자 엄벌 해라...",0
1065629,이게 다 친일파 한민당의 후에들인 민주당놈들 때문이다 깔깔깔,0
1065630,39사단장은 생방송 키고 저 식단 그대로 밥을 먹어야 한다,0
1065631,이에 대한 군 당국의 대책은 장병들 스마트폰 압수,0
1065632,"사단장이상 짤라라
뭘 빼먹으니 저렇게 부실하지
완전 썩은 군대네 헐",0
1065633,군대밥이 어찌 40년전 밥보다도 못하냐. 도대체 부식비는 누가 다 해먹는거냐?,0
1065634,사단장놈에게 저 식단 그대로 쳐 먹여야 한다,0
1065635,"한창 먹어야되는 젊은 나이인데 이걸 밥이라고 주냐
개밥도 이것보다는 낫겠다",0
1065636,11만원 짜리 도시락 쳐먹으면서 맛없다한 문재앙 하수인 생각나네,0
1065637,외부 전문감사 철저히 받으면 천문학적 국방비예산 어디로 새는지 나올것이다. 빠삐용에서보던 식단을 우리 군인들에게서 보게 될줄이야,0
1065638,문씨 어찌생각하냐 ?,0
1065639,국방부장관 해임해야합니다 문제가아주많이 발생하고 있어요,0
1065640,나 논산훈련소 전에 가는 입소중대 있을때 저기서 계란말이 빼고 나왔는데 ㅋ 토요일은 연무읍 역사 철로 까는데 사역가면 냉면이라고 주는데 ㅎㅎ .,0
1065641,보릿고개,0
1065642,군급식 그냥 cj같은곳에 맡겨라. 3000원이면 최고 도시락 만들어준다.,0
1065643,국방의무를 하는  한참 먹을 젊은이들에게 이게 뭐하는 나라인가  요즘 이렇게 먹고사는 국민도 없는데 전투력을 갖춰야할 군인들이 이걸먹고 힘 쓰게냐 정말 화가 치미네 북에 퍼다줄 생각말고 대한민국 군인부터 챙겨라,0
1065644,조선족한테 하는 거  반에 반만이라도 해라.   조선족한테 갈 돈은 있어도 나라 지키는 우리 군인에게 들어갈 돈은 없구나,0
1065645,왠지 사회적기업이란 이름하에 운동권 도시락업체가 기생하고 있는건 아닌가 하는 의심을 해봄 운동권 좌파가 사회적기업으로 해쳐먹는게 넘치니,0
1065646,국방비가 다 어디로가는데 30여년전 내군대짭밥보다 못하냐 북괴로가나,0
1065647,30년전에 복무할때도 이런 배식은 본적이 없는데 이건 너무 심하다고 생각되네요.,0
1065648,김치도 중국산이지,0
1065649,부칸부칸 찿더니 대한민국 장병들은 찬밥 먹이는 문재인정권..진짜 이것들이 부모마음 헤아릴줄모르고 저딴 개밥을 먹인다는 사실이 화가난다!,0
1065650,"또 누군가 뒤로 돈을 감아버렷네
병역비리 의심해봐야되것네",0
1065651,메갈단체에 수백 수천억씩 퍼주고 우리 장병들껜  똥국이 왠말이냐?!!? 이나라는 남자가 죄냐??,0
1065652,남의 집 귀한 아들 데려다가 이게 무슨 짓인지!!,0
1065653,"성인지예산이 국방비보다 많다던데, 나라가 미쳐가고있다. 국방에 소홀하고 외교로만 가려한다면 딱 인조꼴 난다",0
1065654,탈 성매매자는 지원해주면서 국군장병 대우는 이게 무엇인가요?? 국가는 무엇을 위해 존재하나요?,0
1065655,국방부 똥별  이자식들 말로해서는 안되겠네! 어이 대한민국군내 권럭과 돈줄을 쥐고 있는 좌파 똥별들 느네들 진짜 죽고싶냐?  나라지키는 군인들 제대로 먹여야 될것 아녀?  왜? 돈이 부족하냐? 군대에서 좌파정치권 눈치보며 줄서서 기생하는 정치군인들 빨리 찍어내서 우리 장병들 밥쫌 제대로 먹이자! 장병들 격리할공간이 없으면 똥별들 관사라도 내어놓아야 할것 아닌가? 좌파들 말로만 개선개선! 문제인 4년동안 개선 안하고 머했노?,0
1065656,꼬시다 문재앙 장병들 핸드폰주고 군기강 엉망만들더니 지들잘못만 터지네,0
1065657,국방부 예산 조사 해봐야함  이게 노예지 뭐냐  진짜 심하다,0
1065658,전쟁날때를 대비해서 간첩 문죄인이 북한군과 수준맞추나! 이명박 박근혜때랑 정말 너무비교된다 !!,0
1065659,"울 아들 왈 평상시도 저렇게 나와서 열 받는건 없다는 말에 할말이 없네요.
간부들 답답하다고 마스크도 잘 안 쓰고 사병들만 열심히 쓰게 한답니다.
윗물이 이리 썩었으니 이십대들이 분노하는 겁니다.입대시킨 엄마는 맛난 음식 먹을때 아들 생각으로 죄인같습니다.",0
1065660,상황이 이런데도 페미나치들은 군대가서 쉰다고 주장한다. 쉬는것 같이 보이면 니가 먼저 가라. 국가가 군인들 대우 똑바로 안하면 임오군란 나는 수 있다. 조심해라.,0
1065661,부칸 퍼준다고 우리장병 굶나?  우찌 이런일이....이승만 시대가 지금이??,0
1065662,편의점 도시락이 훨씬 좋겠다,0
1065663,아들 낳기싫다 이런기사보면 휴 대한민국의 미래가 어둡다,0
1065664,급식비 다 어디로 샌거냐.,0
1065665,양호한데   뭐가   문젠데,1
1065666,"너무한거아닌가? 같은 창원 마산합포구에서 집장촌 여성 지원해준다는기사봤다. 여기는 창원 함안 39사단, 나라를위해 고생하는 사병들을위해 세금쓰자 문 jae앙",0
1065667,미군처럼 해 줘... 코로나 중국애들 데려와 먹이던 그 이상으로 해 줘야 맞는거 아니냐?? 나라지키는 감사가 누구에게 가야하냐??,0
1065668,30년전이나 똑같노~ 국방 예산 도둑넘들 천지네~~,0
1065669,어디서 돈 다 빼돌렸냐...국방부우두머리들이 머같으니까 군대가 이놈저놈 다 빼먹고 이꼬라지지,0
1065670,쓰레기군대 민간인 데리고가서 2년 부리려면 개돼지 취급은 하지마라. 사회에 나오면 나이쳐먹은거 말고 뭐 있냐?,0
1065671,"완전 노비밥상이네 
젊은 인생 징집해서 밥이라도 똑바로 챙겨 먹여라
시대가 바뀌는데 똥국에 밥상은 30년이 지나도 변한게 없네",0
1065672,"어이 국방부장관 나리~~
당신이 부실급식 개선하겠다고 국민들한테 약속하고 예하부대로 지시내린지가 언제였더라~~~",0
1065673,"좌파 시민단체, 민노총에 쏟아부을  돈으로 군인들 밥이나 먹을 수 있게해라.  극좌파 문제인아~~~",0
1065674,하하. 썩을 놈들,0
1065675,포로수용소 식단도 저보다 좋을듯,0
1065676,배가 불렀네 20년 전만해도 그냥 밥이랑 김치만 주면 닥치고 먹는거였는데 ㅎㅎ 계란찜 나왔으면 잘나왔구만 뭘 3년에서 1년 반됐고 요즘 군기도 개판이더만 너네 휴가나왔냐? 원래 나라지키려면 비상식량으로 먹고사는거야,0
1065677,07군번입니다. 나도 저런 밥은 본적이 없습니다. 아니 지금 21년도 맞나요? 애들 밥값을 뽀리는 놈이 있나? 어이가 없다 어이가 없어 이거 군빼고 경검합동조사로 털자 이런 도둑놈은 탈탈털어서 뒤질때까지 저렇게 먹이자,0
1065678,문재인보유국의 군인 대우 수준을 적나라하게 보여주는군요??? 나라위해 목숨 바쳐도 개죽음 취급밖에 안해주는 대한민국!!! 살인자나 재소자들의 인권은 엄청 챙기면서 나라지키는 군인이 왜 이런 대우를 받아야하죠 왜??? 불쌍한 내아들,0
1065679,10년전에도 저것보단 잘 나왔는데,0
1065680,"10,500원 부식비면 어느정도 인가? 중간에 삥치거나 관행같은짓하는 '감사' 부터 해라!",0
1065681,"장병들 눈높이?
시 벌 *아   그럼 네 눈높이에는 괘안나?
네가 쳐무라",0
1065682,"식단이 왜이러는 겁니까?
돈이없는 겁니까?
왜 노숙자만도  못한 식단을 주는거죠?",0
1065683,아들만 둘인 엄마입니다.. 이런 밥 정녕 2021년 대한민국 맞습니까??.. 당신들 자식이라면 이런 밥 주겠습니까????정말 먹는거 가지고 러지 맙시다!!!,0
1065684,진똥국은 순도 100프로 된장으로만 제조해야함. 시래기 쪼가리라도 들어가면 이미 똥국이 아닌것,0
1065685,진짜 못됐다~~~ 우리나라를 지켜주는 군인을 이리부실하게 아주 얄밉게 저런 급식을 주다니.. 그러니 남자들이 군대를 싫어할수밖에... ㅡㅡ 영양이 듬뿍 담긴 반찬을 달라~~ 이나쁜것들아 양심도 없는 놈들 그럼 벌받어~!,0
1065686,군대 정량대로 지급하면  사회보다 잘 먹을걸?????   뒤로 다 빼억어서  모자른거지....,0
1065687,사진을 보고도  믿기지 않습니다  집앞 유기견한테 닭고기 삶아서주고 통조림 줍니다,0
1065688,세금 드립다 올려 북한에 못 퍼줘 생 난리더니 나라의 안보와 국방을 지키는 우리 아들들은 뭐만도 못한 취급을 하는구나.,0
1065689,문재인이 특전사 출신이라며ㅡㅡㅋ 왜 군대를 ㄱㅏ지도ㅠ않은 박근혜전대통령 때보다도 못하는건지 몰겠네 ㅋㅋ,0
1065690,똥국은 뭘로 끓이는건가요?  언론이면 최소한의 격조를 갖춰라!,0
1065691,"군인은 군이답게~

그냥  먹어라..

전쟁터에서도 밥타령 할것인가!",0
1065692,뭉가는   북한을위해  군대를해체하려고  감옥의범죄자보다도  못한취급을함,0
1065693,이게다 문재인 때문이다,0
1065694,제발 부식물품 제대로 입고하세요 중간에 이득챙기는 사람들에게  다 뜯기고나니 음식이 저모양 ㅠㅠㅠㅠㅠ,0
1065695,진짜 왜저러는거야??  저게식사냐? 도대체 돈은 다 어디쓰고  하.....,0
1065696,"지금 정권은 우리군대가 강성해  지는거 싫어요
아마 우리 국군이 와해되길 바랄걸요
그러니  이상한 자들이  군대에서 한자리
하겠죠",0
1065697,정말 교도소에서도 저런밥은 안나온다. 저대로 문재앙이 처먹으라고 갖다줘봐라.,0
1065698,하....내 남동생 혹은 내 아들이 저런 대우를 받았다고 생각하면.... 진짜😡 저거 조작 아니죠? 하 진짜 믿기지 않네요,0
1065699,누가 빼돌렸구만,0
1065700,현 정부가  군 죽이기 한다고  병사들 급식까지   정량 지급하는 것을 소홀히 하면 되겠습니까??  북한은 군복무하는  병사들을 최우선으로 대우한다고 하던데..  좌파정부 뭐하나 잘 하는 게 없다,0
1065701,뒤로 그만 좀 빼 먹어라 ...  급식비 올리면  뭐하냐 뒤로  다 빼먹는데..,0
1065702,여성부 폐지하면 모병제 할수 있을텐데 ㅋㅋㅋㅋㅋ 여자도 군대가면 되잖아 양선평등시대에,0
1065703,현정권이 민노총 한테는 저런 대우 안하겠지? 계들은 나라를 지키는게 아니라 망치는데도...,0
1065704,"또, 이야단이네! 몇일전 국방장관, 참모총장, 육군훈련소장, 국방부차관 등등 사과하면 뭐하나! 개선이 되지않는걸! 언제까지, 이모냥 이꼴! 국회국방위원회 구퀘위원들 당신들은 뭐하고 않아만 있소? 말로는 누가 못해! 귀관들은 잠이 편안하게 옵니까? 이지경이 계속되는데, 편안히 밥먹고, 커피마시고, 할량짓 하면서 꿀잠이 온단 말이요! 밤을 세워서라도 특단의 제도개선, 즉시시행 하시요! 밥이 저모냥인데, 인격대우는 말할것도 없겠구만? 보통문제 아니요~전시중인 우리나라 국군장병에 대한 예우가 아니지! 암! 아니고 말고~주먹밥과 다를바없네!",0
1065705,현 정권은 각오 단디해라!!!,0
1065706,"도대체 어디서 돈이 없어지는거야?
도대체 도둑놈들이 몇이야?",0
1065707,요즘도 식비 떼어먹냐?,0
1065708,국방부 기준으로는 저렇게 나올리가 없는데 누가 또 해쳐먹었나보군…,0
1065709,"부식 관리 감독을 잘 해라.   .  ..
아무리 많은 부식비을 투입해도.중간에서 떼어 먹는 놈이 있느니 저렇게 나온다.",0
1065710,눈  높이   같은   소리하고   자빠졌네  그   식단의   눈   높이는   뭔데요.   비교할걸   비교해라.!,0
1065711,부칸에 퍼줄 돈은 있어도 국방을 책임지는 국군은 찬밥이구나?? 정말 개탄 스럽다. 문쇼대갈통과 더블어미친당의 개.돼지들아??,0
1065712,대깨문장성들이 처먹느라 니네가 고생이다...,0
1065713,장병월급 올리면모하누? 교도소 범죄자들보단 못한대접받는데... 국방장관 물러나야지...,0
